ADM,CLOT,DOM,EDUC,ELEC,EXP,FDAW,FDHO,FOOT,FURN,GASO,HEAL,HHTENURE,HOUS,ID,LIFE,LOCT,MAPP,PERS,READ,REFAGE,REFEDUC,REFMS,REFRACE,REFSEX,REGION,SAPP,SIZE,SIZEAF,SIZEAM,SIZEIN,SIZEJF,SIZEJM,TELE,TEXT,TOB,TOYS,TRIP,URBAN
0,15,190,125,285,8884.7,260,650,0,0,300,4903.7,4,900,2618022,0,0,0,0,15,38,15,3,6,2,3,45,1,1,0,0,0,0,30,0,260,25,0,1
0,0,1500,0,267,12459.4,260,2158,0,0,762,4850.4,2,974,2545654,0,0,0,0,45,87,13,1,1,1,4,0,3,1,2,0,0,0,168,0,0,0,0,1
30,564,476,0,164,20091.33,1083.333,2123.333,80,0,560,4751.333,1,1391,2631962,0,0,0,139,178.6667,59,15,1,1,1,4,129,2,1,1,0,0,0,308,213,0,0,0,1
75,100,0,0,149,12922.6,260,1040,0,0,3000,4738.4,2,1009,2590063,0,0,0,0,6,68,13,1,1,2,1,0,2,1,1,0,0,0,580,0,0,0,0,1
1900,1383,1142,0,223,42820.89,1690,2650,75,0,2025,4725,2,7823,2588773,600,0,0,340,160,45,15,1,1,1,1,150,4,1,1,0,0,2,737,0,0,520,4390,1
0,240,0,0,272,11367.15,78,866.6667,0,0,682,4613.333,2,747.3333,2608293,0,0,0,4.6667,25.3333,52,11,1,1,2,2,0,3,2,1,0,0,0,258,0,0,0,0,2
0,410,0,0,470,12482.63,80,1615,0,0,950,4604,4,120,2525895,540,0,0,53.3333,0,41,13,1,1,1,4,0,4,1,2,0,0,1,100,0,0,80,0,1
125,20,0,0,0,16666.4,350,371,0,0,75,4598.4,4,8488,2613722,0,0,0,45,1427,87,17,1,1,1,3,0,2,1,1,0,0,0,111,0,0,0,280,1
183,360,0,0,277,13381.7,2030,764,87,0,932.5,4551.7,1,1644,2551964,0,0,0,40,68,68,16,1,1,2,2,0,2,1,1,0,0,0,216,11,0,0,0,1
1689,339,60,0,1021,18068.7,0,390,59,0,0,4499.7,2,4091,2522285,0,0,0,100,0,73,12,2,1,2,1,0,1,1,0,0,0,0,150,0,0,125,0,1
340.6667,421.3333,19,0,325,21368.33,1498,768.6667,34,0,441,4437,2,771,2531305,33,18.6667,0,445.3333,74,59,16,1,1,2,1,0,2,1,1,0,0,0,197,0,0,81,34,1
249.3333,425,0,0,180,12392.6,250,1685,0,0,1100,4435.933,2,2212.333,2591663,0,0,0,23.3333,196,69,15,1,1,1,2,0,2,1,1,0,0,0,267,50,0,0,0,1
0,0,0,0,429,12691.25,325,1235,65,0,300,4428,4,3414,2620582,0,0,0,25,0,53,11,1,1,1,3,424,3,1,1,0,1,0,110,0,0,300,0,1
105,166,0,0,0,18090.75,1950,1781,0,0,458,4410,1,2201.5,2588213,0,0,0,136,20,50,13,1,1,1,4,0,2,1,1,0,0,0,84,0,0,90,0,1
594,40,0,0,140,10070.13,346.6667,1040,0,0,700,4279.8,2,732.6667,2528275,0,0,0,340,16,71,16,2,1,2,4,0,1,1,0,0,0,0,206,170,0,0,0,1
153,51,0,0,280,8399.05,130,1040,24,0,920,4238.4,2,300,2618642,0,0,0,46,84,87,16,1,1,1,4,0,3,1,2,0,0,0,159,0,0,0,0,1
146.6667,925.3333,0,0,376,12598.33,866.6667,1213.333,0,410,300,4197.667,1,1125.333,2522915,320,0,0,0,0,60,16,1,1,2,1,0,2,1,1,0,0,0,334,65,0,250,0,1
103.3333,0,0,0,370,12613,650,563.3333,64,0,660,4176.667,2,1311.667,2635162,0,0,0,86.6667,58.6667,63,15,1,1,2,3,0,2,1,1,0,0,0,253,0,0,300,0,1
190,1201,0,0,256,26760.4,1901,1300,287,0,1200,4121.4,1,6749,2520115,40,0,1424,340,30,65,12,1,1,2,1,60,2,1,1,0,0,0,400,0,0,500,2483,1
180,550,0,0,376,20214.17,240,1300,0,0,500,4112,1,1282,2557214,242,0,0,0,0,47,15,1,1,2,3,0,4,1,2,0,1,0,398,62,0,0,0,1
429,31,52,0,206,22409.5,222,2585,129,0,1705,4107,2,1342,2582483,387,0,0,0,2,61,13,1,1,1,2,0,3,2,1,0,0,0,660,0,0,130,2160,1
10,396.6667,280,0,291,18595.44,606.6667,1300,0,300,400,4072.8,2,983.3333,2627782,0,0,540,93.3333,0,65,17,3,1,2,3,120,1,1,0,0,0,0,357.3333,0,0,600,0,1
0,2026,0,0,891,20194.65,1300,1300,174,0,1800,4005,2,1556,2589953,200,0,0,0,0,48,12,1,1,1,3,0,2,1,1,0,0,0,0,0,520,500,0,1
0,0,270,0,397,9436.85,130,520,0,0,180,4002.4,2,910,2554854,0,0,0,0,0,79,17,1,1,1,3,0,3,1,2,0,0,0,360,0,0,0,0,1
0,0,482,0,251,11347.65,260,1755,0,0,225,4000.4,2,1817.25,2553214,0,0,0,0,0,87,16,2,1,1,4,0,2,0,2,0,0,0,330,39,0,60,0,1
0,0,0,0,75,5665.483,108.3333,238.3333,0,0,50,3998.9,1,87.5,2602763,0,0,0,11,10,67,12,1,1,1,2,0,3,1,2,0,0,0,148,0,0,0,0,1
14,525,1725.2,0,525,19522.15,889,975,154,0,1385,3993.4,1,1326.75,2612972,400,0,0,550,0,77,17,1,1,1,3,0,2,1,1,0,0,0,75,60,0,281,0,1
83.3333,21.6667,3.3333,0,60,17808.9,173.3333,368.3333,0,0,50,3978.9,4,1092,2543085,0,10,0,391.6667,33.3333,73,13,5,1,1,4,0,1,0,1,0,0,0,262,0,0,75,0,1
97,273,193.2,0,345,21493.4,1865,1325,0,0,1067,3955.4,2,3051,2622242,213,0,0,200,68,71,14,1,1,2,1,58,2,1,1,0,0,0,540,0,0,0,0,1
0,112,4,0,121,11558.47,325,455,208,0,150,3905.8,2,275,2641962,90,0,0,50,53.3333,87,16,1,1,1,3,69,2,1,1,0,0,0,117,0,121.3333,0,0,1
9.3333,0,410,0,140,10013.47,866.6667,433.3333,0,0,0,3878.8,2,183.3333,2634822,0,0,0,266.6667,427.3333,87,15,2,1,2,4,0,1,1,0,0,0,0,101,0,0,0,0,1
0,0,0,0,464,11918.5,650,2925,0,0,480,3821,1,1310.5,2553394,20,0,0,0,0,49,11,1,1,2,3,0,3,2,1,0,0,0,540,0,195,0,0,1
0,0,0,0,269,9412.9,104,780,0,0,570,3799.4,2,1887.5,2579583,0,0,0,0,0,87,12,1,1,1,2,0,2,1,1,0,0,0,215,0,0,60,0,1
0,0,20,0,150,7087.7,390,780,169,0,180,3789.7,2,75,2551694,126,0,0,42,0,62,13,5,1,1,2,0,2,0,2,0,0,0,195,0,39,0,0,2
485,420,180,1590,299,20670.65,1420,1950,200,0,1200,3774,1,1395,2614592,50,0,0,350,570,45,11,1,1,1,2,0,4,1,1,0,0,2,352,0,0,500,0,1
23,647,0,0,554,16720.4,720,680,0,0,1170,3763.4,2,4031.25,2614902,0,0,1484,55,55,71,12,1,1,1,1,0,2,1,1,0,0,0,380,0,26,0,0,1
66.6667,133,4480,0,196,20869.07,866.6667,1300,17,0,300,3748,4,5658.667,2592973,0,0,0,400,40,39,16,1,1,1,4,0,4,1,1,1,1,0,0,0,0,0,0,1
